               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.020798,            0.023914,           0.0036058,             0.96514,             0.90151,             0.97547,             0.82754,           0.0095228,              0.0157,           0.0013166,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021764,            0.022731,           0.0042211,             0.92545,             0.92892,             0.97393,             0.80814,           0.0089831,            0.014074,           0.0014586,            0.005545,            0.005545,            0.005545
                  92,            0.021501,            0.024743,           0.0035903,             0.89533,             0.99275,             0.98353,             0.79811,           0.0083739,            0.014035,           0.0014667,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020737,             0.02478,           0.0035028,             0.95637,             0.92557,             0.98364,             0.81806,           0.0075497,            0.013989,           0.0013245,            0.005446,            0.005446,            0.005446
                  94,            0.019659,            0.024517,           0.0042976,             0.95052,             0.93295,             0.98426,             0.81304,           0.0092272,            0.014235,            0.001006,           0.0053965,           0.0053965,           0.0053965
                  95,            0.020197,            0.023013,           0.0042706,             0.95879,              0.9332,             0.98108,             0.83999,           0.0080467,            0.014899,           0.0011129,            0.005347,            0.005347,            0.005347
                  96,            0.021535,            0.023538,           0.0046834,             0.91653,             0.98996,             0.97796,             0.85624,           0.0081609,            0.014939,           0.0011486,           0.0052975,           0.0052975,           0.0052975
                  97,            0.021025,            0.026144,           0.0051641,             0.92046,             0.99527,             0.97509,             0.83576,           0.0071071,            0.013438,           0.0010986,            0.005248,            0.005248,            0.005248
                  98,            0.020708,            0.024815,           0.0043035,             0.92884,             0.99387,             0.98625,             0.82021,           0.0074745,            0.018465,           0.0010192,           0.0051985,           0.0051985,           0.0051985
                  99,            0.020346,            0.024824,           0.0033507,             0.92211,             0.99629,             0.98218,             0.77425,           0.0076319,            0.016868,            0.001068,            0.005149,            0.005149,            0.005149
                 100,            0.020716,            0.024938,           0.0046193,             0.94397,              0.9237,             0.97654,             0.81826,           0.0073301,            0.014484,          0.00091561,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020005,            0.023242,           0.0037249,             0.94751,             0.91682,             0.97485,             0.77467,            0.008935,            0.016885,          0.00097194,             0.00505,             0.00505,             0.00505
                 102,            0.018862,            0.022721,           0.0046647,             0.96515,              0.9195,             0.97289,             0.82071,            0.008314,            0.014985,          0.00086818,           0.0050005,           0.0050005,           0.0050005
                 103,            0.019107,             0.02294,            0.003876,             0.95889,             0.94157,             0.98353,             0.82605,           0.0078777,            0.014425,          0.00086529,            0.004951,            0.004951,            0.004951
                 104,            0.018783,            0.023754,           0.0042811,             0.92781,             0.99654,             0.98829,             0.84801,           0.0066929,            0.013359,          0.00083699,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018762,            0.022719,           0.0037032,             0.92289,             0.99217,             0.98675,             0.82406,           0.0081547,            0.014982,          0.00078235,            0.004852,            0.004852,            0.004852
                 106,            0.020605,              0.0244,           0.0048697,             0.95707,             0.96304,             0.98332,             0.79331,           0.0087923,            0.014465,          0.00073875,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019666,            0.023314,           0.0048486,             0.95494,             0.97845,             0.98803,             0.82963,           0.0079509,            0.015007,          0.00072485,            0.004753,            0.004753,            0.004753
                 108,            0.020962,            0.024323,            0.003422,             0.95802,             0.96929,             0.98636,             0.83833,           0.0071482,            0.013221,          0.00071091,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019905,            0.024491,           0.0039978,             0.93774,             0.99266,             0.98719,             0.85359,           0.0069982,            0.013599,          0.00073887,            0.004654,            0.004654,            0.004654
                 110,            0.018263,            0.023095,           0.0041075,             0.96122,             0.98873,             0.99267,             0.77892,           0.0079235,            0.014048,          0.00075935,           0.0046045,           0.0046045,           0.0046045
